date,AUD,CAD,CHF,CNY,GBP,JPY,KRW,MYR,USD,ZAR,IDR
1/2/2023,1.5699,1.4506,0.9873,7.3698,0.8863,139.62,1357.8,4.7059,1.0683,18.1719,16631.78
1/3/2023,1.5708,1.4414,0.9879,7.2863,0.88048,137.93,1346.51,4.6439,1.0545,18.019,16471.95
1/4/2023,1.5452,1.4363,0.9843,7.2985,0.88076,138.74,1348.95,4.6641,1.0599,17.8349,16504.76
1/5/2023,1.5515,1.4316,0.9839,7.2863,0.88303,140.95,1345.9,4.6517,1.0601,18.125,16543.07
1/6/2023,1.559,1.4331,0.9864,7.2045,0.88475,141.3,1337.18,4.6237,1.05,18.2092,16468.3
1/9/2023,1.5446,1.4299,0.9865,7.2546,0.88048,141.35,1330.37,4.68,1.0696,18.2059,16661.92
1/10/2023,1.5616,1.4382,0.9908,7.2732,0.8833,141.92,1338.38,4.6889,1.0723,18.3054,16675.07
1/11/2023,1.5588,1.4429,0.9967,7.2807,0.88673,142.61,1341.01,4.6975,1.0747,18.2827,16612.34
1/12/2023,1.557,1.4439,1.0056,7.27,0.8869,140.61,1340.17,4.6955,1.0772,18.1417,16456.12
1/13/2023,1.5586,1.4494,1.0051,7.2729,0.888,139.02,1343.41,4.689,1.0814,18.2482,16412
1/16/2023,1.5537,1.4486,1.0026,7.2791,0.88758,138.92,1340.22,4.6665,1.0812,18.445,16335.03
1/17/2023,1.5611,1.4547,0.9998,7.3473,0.88595,139.5,1343.5,4.6912,1.0843,18.6027,16467.83
1/18/2023,1.5413,1.4505,0.9906,7.3193,0.8753,139.79,1337.16,4.6754,1.0839,18.396,16307.2
1/19/2023,1.5726,1.4603,0.9921,7.3424,0.87648,139.02,1340.52,4.6591,1.0815,18.6931,16429.66
1/20/2023,1.5619,1.4583,0.9962,7.3425,0.876,140.86,1336.47,4.6395,1.0826,18.577,16367.67
1/23/2023,1.5529,1.4523,1.0013,7.373,0.8797,141.65,1335.67,4.6588,1.0871,18.6597,16314.27
1/24/2023,1.547,1.4517,1.0053,7.3642,0.88368,141.47,1341.6,4.6448,1.0858,18.7687,16259.05
1/25/2023,1.536,1.4544,1.002,7.3778,0.88248,141.17,1343.93,4.6357,1.0878,18.6745,16278.93
1/26/2023,1.5308,1.4568,1.0002,7.3893,0.87945,141.38,1342.51,4.6255,1.0895,18.6127,16298.97
1/27/2023,1.5289,1.4479,1.0017,7.369,0.87885,141.1,1341.37,4.6116,1.0865,18.7185,16281.15
1/30/2023,1.539,1.4532,1.0045,7.3601,0.87978,141.79,1338.87,4.6272,1.0903,18.889,16335.28
1/31/2023,1.5476,1.457,1.0032,7.3198,0.88073,141.27,1338.9,4.6211,1.0833,18.9223,16282.57
2/1/2023,1.5392,1.4506,0.998,7.3452,0.88413,141.37,1339.22,4.6471,1.0894,18.8328,16299.47
2/2/2023,1.5407,1.4602,0.9992,7.3878,0.89289,141.12,1345.9,4.6655,1.0988,18.7046,16360.69
2/3/2023,1.5499,1.4616,0.9989,7.3689,0.8925,140.45,1346.17,4.657,1.0937,18.7624,16312.7
2/6/2023,1.5596,1.4459,0.9964,7.309,0.89278,142.41,1353.65,4.5884,1.0776,18.9013,16338.36
2/7/2023,1.547,1.4371,0.9906,7.2608,0.89338,141.3,1348.81,4.6035,1.07,18.8746,16239.13
2/8/2023,1.5416,1.4389,0.9881,7.2841,0.888,140.81,1351.4,4.6144,1.0735,18.9129,16227.39
2/9/2023,1.5409,1.4423,0.989,7.2992,0.88515,140.8,1355.38,4.6488,1.0771,19.0134,16279.95
